,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-02-22,684.919616010139,607.0352546275029,756.8414559746077,684.919616010139,684.919616010139,-1.1722415225136114,-1.1722415225136114,-1.1722415225136114,-1.1722415225136114,-1.1722415225136114,-1.1722415225136114,0.0,0.0,0.0,683.7473744876254
1,2021-02-23,684.5170664692318,608.869297602051,756.1058033406479,684.5170664692318,684.5170664692318,-4.661943177180191,-4.661943177180191,-4.661943177180191,-4.661943177180191,-4.661943177180191,-4.661943177180191,0.0,0.0,0.0,679.8551232920516
2,2021-02-24,684.1145169283246,607.697211799315,754.7955447927441,684.1145169283246,684.1145169283246,-0.9991574300378717,-0.9991574300378717,-0.9991574300378717,-0.9991574300378717,-0.9991574300378717,-0.9991574300378717,0.0,0.0,0.0,683.1153594982868
3,2021-02-25,683.7119673874174,598.9502153581994,750.5476990970743,683.7119673874174,683.7119673874174,-9.327065369997495,-9.327065369997495,-9.327065369997495,-9.327065369997495,-9.327065369997495,-9.327065369997495,0.0,0.0,0.0,674.3849020174199
4,2021-02-26,683.3094178465103,600.3914957452339,746.880627207541,683.3094178465103,683.3094178465103,-11.645887282794956,-11.645887282794956,-11.645887282794956,-11.645887282794956,-11.645887282794956,-11.645887282794956,0.0,0.0,0.0,671.6635305637153
5,2021-03-01,682.1017692237888,607.2017180391849,760.4694338371075,682.1017692237888,682.1017692237888,-1.1722415224574785,-1.1722415224574785,-1.1722415224574785,-1.1722415224574785,-1.1722415224574785,-1.1722415224574785,0.0,0.0,0.0,680.9295277013313
6,2021-03-02,681.6992196828817,599.2777683925959,755.7411124497528,681.6992196828817,681.6992196828817,-4.661943177171968,-4.661943177171968,-4.661943177171968,-4.661943177171968,-4.661943177171968,-4.661943177171968,0.0,0.0,0.0,677.0372765057097
7,2021-03-03,681.2966701419745,608.347117421105,756.8066048326148,681.2966701419745,681.2966701419745,-0.9991574300305912,-0.9991574300305912,-0.9991574300305912,-0.9991574300305912,-0.9991574300305912,-0.9991574300305912,0.0,0.0,0.0,680.2975127119439
8,2021-03-04,680.8941206010672,597.3528198960462,742.6842190382473,680.8941206010672,680.8941206010672,-9.327065370012948,-9.327065370012948,-9.327065370012948,-9.327065370012948,-9.327065370012948,-9.327065370012948,0.0,0.0,0.0,671.5670552310543
9,2021-03-05,680.4915710414273,593.3737495629164,746.9297253003152,680.4915710414273,680.4915710414273,-11.64588728284781,-11.64588728284781,-11.64588728284781,-11.64588728284781,-11.64588728284781,-11.64588728284781,0.0,0.0,0.0,668.8456837585795
10,2021-03-08,679.2839223625074,605.0616468797791,754.6890220333252,679.2839223625074,679.2839223625074,-1.172241522470617,-1.172241522470617,-1.172241522470617,-1.172241522470617,-1.172241522470617,-1.172241522470617,0.0,0.0,0.0,678.1116808400368
11,2021-03-09,678.8813728028674,598.4138425656013,750.8196830185469,678.8813728028674,678.8813728028674,-4.661943177163743,-4.661943177163743,-4.661943177163743,-4.661943177163743,-4.661943177163743,-4.661943177163743,0.0,0.0,0.0,674.2194296257037
12,2021-03-10,678.4788232432275,602.2857588672899,753.5908177200411,678.4788232432275,678.4788232432275,-0.9991574300361256,-0.9991574300361256,-0.9991574300361256,-0.9991574300361256,-0.9991574300361256,-0.9991574300361256,0.0,0.0,0.0,677.4796658131913
13,2021-03-11,678.0762736835874,593.5171119085454,742.543728110809,678.0762736835874,678.0762736835874,-9.327065370009953,-9.327065370009953,-9.327065370009953,-9.327065370009953,-9.327065370009953,-9.327065370009953,0.0,0.0,0.0,668.7492083135775
14,2021-03-12,677.6737241239474,588.2057548262788,747.5328971040631,677.6737241239474,677.6737241239474,-11.645887282833337,-11.645887282833337,-11.645887282833337,-11.645887282833337,-11.645887282833337,-11.645887282833337,0.0,0.0,0.0,666.0278368411141
15,2021-03-15,676.4660754450274,597.3056099379448,751.9890465520665,676.4660754450274,676.4660754450274,-1.1722415224837557,-1.1722415224837557,-1.1722415224837557,-1.1722415224837557,-1.1722415224837557,-1.1722415224837557,0.0,0.0,0.0,675.2938339225436
16,2021-03-16,676.0635258853873,596.4872355046018,747.6598809139672,676.0635258853873,676.0635258853873,-4.661943177155518,-4.661943177155518,-4.661943177155518,-4.661943177155518,-4.661943177155518,-4.661943177155518,0.0,0.0,0.0,671.4015827082318
17,2021-03-17,675.660976217849,598.380107549778,741.6001471251102,675.660976217849,675.660976217849,-0.9991574300272461,-0.9991574300272461,-0.9991574300272461,-0.9991574300272461,-0.9991574300272461,-0.9991574300272461,0.0,0.0,0.0,674.6618187878217
18,2021-03-18,675.2584265503107,589.6143955455811,744.1401976886475,675.2584265503107,675.2584265503107,-9.327065370025403,-9.327065370025403,-9.327065370025403,-9.327065370025403,-9.327065370025403,-9.327065370025403,0.0,0.0,0.0,665.9313611802853
19,2021-03-19,674.8558768827722,590.1824707826202,739.6190159350209,674.8558768827722,674.8558768827722,-11.645887282822668,-11.645887282822668,-11.645887282822668,-11.645887282822668,-11.645887282822668,-11.645887282822668,0.0,0.0,0.0,663.2099895999496
20,2021-03-22,673.6482278801572,592.4541895810611,745.4644082717574,673.6482278801572,673.6482278801572,-1.172241522439798,-1.172241522439798,-1.172241522439798,-1.172241522439798,-1.172241522439798,-1.172241522439798,0.0,0.0,0.0,672.4759863577174
